date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:34:31	60496/60496	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2019:34:18%20GMT	https://slimhamdi.net/tunis/demos/dark.html	C:/Project/my_web/slimhamdi.net/tunis/demos/dark.html	(from )
02:34:32	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202025%2019:34:19%20GMT	https://slimhamdi.net/robots.txt		(from )
02:34:33	159515/159515	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:08%20GMT	https://slimhamdi.net/tunis/demos/css/bootstrap.min.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/bootstrap.min.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:33	16754/16754	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:09%20GMT	https://slimhamdi.net/tunis/demos/css/component.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/component.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:33	27049/27049	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:08%20GMT	https://slimhamdi.net/tunis/demos/css/circle.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/circle.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:33	31000/31000	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:10%20GMT	https://slimhamdi.net/tunis/demos/css/font-awesome.min.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/font-awesome.min.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:33	32695/32695	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:10%20GMT	https://slimhamdi.net/tunis/demos/css/style.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/style.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:33	2776/2776	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:23%20GMT	https://slimhamdi.net/tunis/demos/css/skins/yellow.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/skins/yellow.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:34	2774/2774	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:22%20GMT	https://slimhamdi.net/tunis/demos/css/skins/blue.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/skins/blue.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:34	2775/2775	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:22%20GMT	https://slimhamdi.net/tunis/demos/css/skins/green.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/skins/green.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:34	2780/2780	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:22%20GMT	https://slimhamdi.net/tunis/demos/css/skins/blueviolet.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/skins/blueviolet.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:34	2779/2779	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:22%20GMT	https://slimhamdi.net/tunis/demos/css/skins/goldenrod.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/skins/goldenrod.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:35	2777/2777	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:23%20GMT	https://slimhamdi.net/tunis/demos/css/skins/magenta.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/skins/magenta.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:35	2776/2776	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:23%20GMT	https://slimhamdi.net/tunis/demos/css/skins/orange.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/skins/orange.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:35	2776/2776	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:23%20GMT	https://slimhamdi.net/tunis/demos/css/skins/purple.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/skins/purple.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:35	2773/2773	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:23%20GMT	https://slimhamdi.net/tunis/demos/css/skins/red.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/skins/red.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:36	2781/2781	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:23%20GMT	https://slimhamdi.net/tunis/demos/css/skins/yellowgreen.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/skins/yellowgreen.css	(from https://slimhamdi.net/tunis/demos/dark.html)
02:34:36	5176/5176	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2016:29:11%20GMT	https://slimhamdi.net/tunis/demos/css/styleswitcher.css	C:/Project/my_web/slimhamdi.net/tunis/demos/css/styleswitcher.css	(from https://slimhamdi.net/tunis/demos/dark.html)
